sigma_kp,sigma_z_m,sigma_z_um,Emax_abs_TVm,Ez_min_TVm,x_at_min_m,z_at_min_m
1.000000000000000056e-01,1.680463840515219180e-06,1.680463840515219243e+00,3.983763051236174912e-02,-3.983763051236174912e-02,1.984126984126975994e-06,1.471724969342738665e-03
1.500000000000000222e-01,2.520695760772829193e-06,2.520695760772829086e+00,3.967783781637702900e-02,-3.967783781637702900e-02,1.984126984126975994e-06,1.483460189561012967e-03
2.000000000000000389e-01,3.360927681030438783e-06,3.360927681030438929e+00,3.942734877398939436e-02,-3.942734877398939436e-02,1.984126984126975994e-06,1.483460189561012967e-03
2.500000000000000555e-01,4.201159601288048796e-06,4.201159601288049217e+00,3.908648818002086189e-02,-3.908648818002086189e-02,1.984126984126975994e-06,1.495195409779287270e-03
3.000000000000000444e-01,5.041391521545658386e-06,5.041391521545658172e+00,3.872121697958717107e-02,-3.872121697958717107e-02,1.984126984126975994e-06,1.506930629997561572e-03
3.500000000000000888e-01,5.881623441803268822e-06,5.881623441803268904e+00,3.825464767217649775e-02,-3.825464767217649775e-02,1.984126984126975994e-06,1.506930629997561572e-03
4.000000000000001332e-01,6.721855362060879259e-06,6.721855362060879635e+00,3.771241463196359223e-02,-3.771241463196359223e-02,1.984126984126975994e-06,1.518665850215835875e-03
4.500000000000000666e-01,7.562087282318487155e-06,7.562087282318486814e+00,3.715374721709203965e-02,-3.715374721709203965e-02,1.984126984126975994e-06,1.530401070434110177e-03
5.000000000000001110e-01,8.402319202576097592e-06,8.402319202576098434e+00,3.656404988679270995e-02,-3.656404988679270995e-02,1.984126984126975994e-06,1.542136290652384480e-03
5.500000000000001554e-01,9.242551122833707181e-06,9.242551122833706501e+00,3.593295800331869350e-02,-3.593295800331869350e-02,1.984126984126975994e-06,1.553871510870658782e-03
6.000000000000001998e-01,1.008278304309131847e-05,1.008278304309131812e+01,3.524977122959864484e-02,-3.524977122959864484e-02,1.984126984126975994e-06,1.565606731088933085e-03
6.500000000000001332e-01,1.092301496334892636e-05,1.092301496334892619e+01,3.445164784813427306e-02,-3.445164784813427306e-02,1.984126984126975994e-06,1.565606731088933085e-03
7.000000000000001776e-01,1.176324688360653764e-05,1.176324688360653781e+01,3.354923889886824578e-02,-3.354923889886824578e-02,1.984126984126975994e-06,1.577341951307207387e-03
7.500000000000002220e-01,1.260347880386414723e-05,1.260347880386414765e+01,3.254633880757312053e-02,-3.254633880757312053e-02,1.984126984126975994e-06,1.577341951307207387e-03
8.000000000000001554e-01,1.344371072412175513e-05,1.344371072412175572e+01,3.174555789089817531e-02,-3.174555789089817531e-02,1.984126984126975994e-06,1.589077171525481690e-03
8.500000000000001998e-01,1.428394264437936641e-05,1.428394264437936556e+01,3.095799126414707989e-02,-3.095799126414707989e-02,1.984126984126975994e-06,1.589077171525481690e-03
9.000000000000002442e-01,1.512417456463697600e-05,1.512417456463697540e+01,3.015542628775792766e-02,-3.015542628775792766e-02,1.984126984126975994e-06,1.600812391743755992e-03
9.500000000000002887e-01,1.596440648489458729e-05,1.596440648489458702e+01,2.933783438632962468e-02,-2.933783438632962468e-02,1.984126984126975994e-06,1.600812391743755992e-03
1.000000000000000444e+00,1.680463840515219857e-05,1.680463840515219687e+01,2.866139593077330489e-02,-2.866139593077330489e-02,1.984126984126975994e-06,1.612547611962030294e-03
1.050000000000000266e+00,1.764487032540980647e-05,1.764487032540980493e+01,2.799967322444246037e-02,-2.799967322444246037e-02,1.984126984126975994e-06,1.612547611962030294e-03
1.100000000000000533e+00,1.848510224566742114e-05,1.848510224566742011e+01,2.730570528784395656e-02,-2.730570528784395656e-02,1.984126984126975994e-06,1.612547611962030294e-03
